user_id,product,assigned_date,monthly_cost_usd
u00001,PMTool,2024-01-01,16.55
u00001,PDF,2024-01-01,6.66
u00002,PMTool,2024-01-01,22.24
u00003,Zoom,2024-01-01,8.99
u00004,M365,2024-01-01,6.49
u00005,M365,2024-01-01,28.87
u00006,PDF,2024-01-01,18.6
u00007,PMTool,2024-01-01,8.78
u00008,PMTool,2024-01-01,10.12
u00009,PMTool,2024-01-01,26.05
u00010,M365,2024-01-01,11.63
u00011,Zoom,2024-01-01,9.31
u00011,M365,2024-01-01,5.89
u00012,PMTool,2024-01-01,7.48
u00013,M365,2024-01-01,8.73
u00014,Zoom,2024-01-01,6.4
u00015,M365,2024-01-01,19.86
u00016,PMTool,2024-01-01,23.04
u00016,PDF,2024-01-01,9.91
u00018,PMTool,2024-01-01,16.89
u00019,PMTool,2024-01-01,11.08
u00020,M365,2024-01-01,5.65
u00021,M365,2024-01-01,9.74
u00022,Zoom,2024-01-01,9.01
u00023,PMTool,2024-01-01,19.16
u00024,M365,2024-01-01,21.38
u00025,M365,2024-01-01,25.11
u00027,PMTool,2024-01-01,24.81
u00028,Zoom,2024-01-01,18.68
u00029,M365,2024-01-01,16.37
u00030,Zoom,2024-01-01,25.63
u00031,Zoom,2024-01-01,9.59
u00032,M365,2024-01-01,8.6
u00034,M365,2024-01-01,19.58
u00036,Zoom,2024-01-01,14.4
u00036,Zoom,2024-01-01,15.52
u00037,PDF,2024-01-01,7.36
u00038,M365,2024-01-01,21.29
u00039,M365,2024-01-01,29.26
u00040,PDF,2024-01-01,25.68
u00041,M365,2024-01-01,14.56
u00042,M365,2024-01-01,12.99
u00043,M365,2024-01-01,9.27
u00045,PMTool,2024-01-01,11.38
u00046,PMTool,2024-01-01,8.17
u00048,PDF,2024-01-01,12.8
u00049,Zoom,2024-01-01,15.96
u00051,M365,2024-01-01,17.27
u00052,M365,2024-01-01,15.93
u00052,PMTool,2024-01-01,19.28
u00053,Zoom,2024-01-01,14.83
u00054,Zoom,2024-01-01,24.64
u00055,PDF,2024-01-01,17.75
u00056,Zoom,2024-01-01,7.93
u00057,PMTool,2024-01-01,12.96
u00058,M365,2024-01-01,9.2
u00059,PMTool,2024-01-01,22.16
u00061,Zoom,2024-01-01,24.03
u00061,M365,2024-01-01,5.45
u00062,Zoom,2024-01-01,24.83
u00064,M365,2024-01-01,5.08
u00065,M365,2024-01-01,8.03
u00066,M365,2024-01-01,19.49
u00067,Zoom,2024-01-01,25.51
u00068,PMTool,2024-01-01,23.55
u00069,PMTool,2024-01-01,23.5
u00070,PDF,2024-01-01,12.51
u00073,PDF,2024-01-01,14.71
u00073,M365,2024-01-01,28.03
u00075,Zoom,2024-01-01,11.23
u00076,Zoom,2024-01-01,28.83
u00076,M365,2024-01-01,18.08
u00077,M365,2024-01-01,21.55
u00078,PDF,2024-01-01,13.24
u00079,PDF,2024-01-01,8.75
u00079,PDF,2024-01-01,25.12
u00080,M365,2024-01-01,14.08
u00081,PMTool,2024-01-01,15.28
u00082,PDF,2024-01-01,12.08
u00083,PMTool,2024-01-01,15.8
u00084,M365,2024-01-01,18.76
u00085,M365,2024-01-01,25.25
u00086,M365,2024-01-01,22.22
u00087,Zoom,2024-01-01,17.83
u00088,M365,2024-01-01,8.73
u00089,PDF,2024-01-01,17.52
u00089,PDF,2024-01-01,22.22
u00091,PDF,2024-01-01,20.93
u00092,Zoom,2024-01-01,13.61
u00093,M365,2024-01-01,8.99
u00093,Zoom,2024-01-01,18.79
u00094,M365,2024-01-01,22.17
u00095,PDF,2024-01-01,13.65
u00095,PMTool,2024-01-01,7.86
u00096,PMTool,2024-01-01,20.04
u00097,PMTool,2024-01-01,5.59
u00097,Zoom,2024-01-01,18.06
u00098,M365,2024-01-01,7.24
u00102,M365,2024-01-01,8.13
u00103,PDF,2024-01-01,5.29
u00104,PDF,2024-01-01,10.61
u00106,PDF,2024-01-01,14.55
u00106,PDF,2024-01-01,21.38
u00108,Zoom,2024-01-01,26.3
u00109,M365,2024-01-01,13.32
u00110,PMTool,2024-01-01,22.98
u00112,Zoom,2024-01-01,11.49
u00113,PMTool,2024-01-01,18.37
u00114,PDF,2024-01-01,23.92
u00115,PMTool,2024-01-01,21.7
u00116,M365,2024-01-01,17.73
u00117,PMTool,2024-01-01,28.37
u00118,Zoom,2024-01-01,26.4
u00119,PMTool,2024-01-01,27.1
u00120,PDF,2024-01-01,24.75
u00121,M365,2024-01-01,21.56
u00122,PDF,2024-01-01,5.38
u00124,PMTool,2024-01-01,29.84
u00125,PDF,2024-01-01,26.6
u00126,PDF,2024-01-01,23.15
u00127,Zoom,2024-01-01,28.69
u00128,PMTool,2024-01-01,26.09
u00129,Zoom,2024-01-01,13.92
u00130,PMTool,2024-01-01,21.5
u00131,M365,2024-01-01,24.16
u00132,PMTool,2024-01-01,24.35
u00133,Zoom,2024-01-01,16.59
u00133,PMTool,2024-01-01,10.84
u00134,PDF,2024-01-01,17.51
u00136,PDF,2024-01-01,19.67
u00137,PMTool,2024-01-01,15.13
u00138,M365,2024-01-01,25.41
u00139,Zoom,2024-01-01,25.38
u00140,PDF,2024-01-01,7.06
u00141,M365,2024-01-01,7.96
u00142,PMTool,2024-01-01,5.1
u00143,M365,2024-01-01,22.84
u00144,M365,2024-01-01,29.69
u00145,Zoom,2024-01-01,7.63
u00147,M365,2024-01-01,25.19
u00148,M365,2024-01-01,10.25
u00149,M365,2024-01-01,11.02
u00150,M365,2024-01-01,19.74
u00151,PMTool,2024-01-01,6.14
u00155,M365,2024-01-01,23.04
u00156,PDF,2024-01-01,26.14
u00158,M365,2024-01-01,20.72
u00158,PMTool,2024-01-01,13.52
u00159,Zoom,2024-01-01,22.65
u00159,Zoom,2024-01-01,18.95
u00160,PMTool,2024-01-01,18.06
u00160,Zoom,2024-01-01,24.48
u00161,M365,2024-01-01,22.88
u00163,M365,2024-01-01,24.48
u00165,PMTool,2024-01-01,11.28
u00166,Zoom,2024-01-01,17.13
u00167,PMTool,2024-01-01,18.99
u00169,M365,2024-01-01,21.84
u00170,PDF,2024-01-01,16.64
u00171,Zoom,2024-01-01,21.28
u00172,Zoom,2024-01-01,10.33
u00173,M365,2024-01-01,14.77
u00173,PMTool,2024-01-01,20.06
u00174,PDF,2024-01-01,26.17
u00175,M365,2024-01-01,14.72
u00176,M365,2024-01-01,15.92
u00177,PDF,2024-01-01,22.42
u00178,M365,2024-01-01,23.39
u00181,M365,2024-01-01,10.44
u00183,PDF,2024-01-01,27.32
u00185,Zoom,2024-01-01,19.45
u00187,M365,2024-01-01,12.54
u00188,M365,2024-01-01,25.35
u00189,Zoom,2024-01-01,7.52
u00190,PDF,2024-01-01,24.09
u00192,Zoom,2024-01-01,10.78
u00193,PDF,2024-01-01,10.82
u00194,PDF,2024-01-01,5.43
u00195,PMTool,2024-01-01,15.52
u00196,PMTool,2024-01-01,26.39
u00197,PDF,2024-01-01,13.02
u00199,PMTool,2024-01-01,27.69
u00200,Zoom,2024-01-01,19.81
u00201,M365,2024-01-01,13.53
u00202,M365,2024-01-01,24.06
u00203,Zoom,2024-01-01,23.36
u00203,PDF,2024-01-01,24.67
u00204,PDF,2024-01-01,24.29
u00205,Zoom,2024-01-01,5.92
u00205,M365,2024-01-01,5.68
u00206,PMTool,2024-01-01,8.06
u00207,PMTool,2024-01-01,18.29
u00208,M365,2024-01-01,10.41
u00209,Zoom,2024-01-01,18.25
u00211,PDF,2024-01-01,17.58
u00212,Zoom,2024-01-01,14.58
u00213,PDF,2024-01-01,24.26
u00214,Zoom,2024-01-01,27.34
u00215,PDF,2024-01-01,29.93
u00216,Zoom,2024-01-01,5.26
u00217,Zoom,2024-01-01,8.6
u00220,PMTool,2024-01-01,16.9
u00221,Zoom,2024-01-01,10.45
u00222,PMTool,2024-01-01,20.18
u00223,M365,2024-01-01,24.93
u00225,Zoom,2024-01-01,9.41
u00226,Zoom,2024-01-01,11.49
u00227,Zoom,2024-01-01,16.86
u00228,PDF,2024-01-01,19.9
u00230,PDF,2024-01-01,15.29
u00230,PMTool,2024-01-01,17.5
u00232,PDF,2024-01-01,8.97
u00233,M365,2024-01-01,11.03
u00234,Zoom,2024-01-01,16.92
u00235,Zoom,2024-01-01,16.39
u00236,Zoom,2024-01-01,9.39
u00237,M365,2024-01-01,24.04
u00239,M365,2024-01-01,29.22
u00240,PDF,2024-01-01,8.94
u00241,PDF,2024-01-01,11.71
u00242,Zoom,2024-01-01,5.81
u00243,PMTool,2024-01-01,28.88
u00243,Zoom,2024-01-01,9.68
u00246,M365,2024-01-01,7.39
u00247,PMTool,2024-01-01,11.72
u00248,M365,2024-01-01,26.71
u00251,Zoom,2024-01-01,16.14
u00254,Zoom,2024-01-01,15.33
u00255,PDF,2024-01-01,14.42
u00256,PMTool,2024-01-01,9.0
u00257,Zoom,2024-01-01,27.9
u00257,Zoom,2024-01-01,28.95
u00258,PMTool,2024-01-01,23.91
u00259,PDF,2024-01-01,20.39
u00261,Zoom,2024-01-01,23.45
u00262,Zoom,2024-01-01,29.78
u00263,M365,2024-01-01,9.0
u00265,PDF,2024-01-01,29.37
u00266,Zoom,2024-01-01,25.76
u00267,PDF,2024-01-01,25.6
u00268,PDF,2024-01-01,13.9
u00269,PDF,2024-01-01,5.58
u00270,PMTool,2024-01-01,12.53
u00270,PMTool,2024-01-01,29.84
u00271,M365,2024-01-01,9.24
u00272,M365,2024-01-01,19.13
u00273,M365,2024-01-01,9.15
u00276,M365,2024-01-01,11.99
u00278,Zoom,2024-01-01,13.71
u00279,M365,2024-01-01,28.94
u00280,Zoom,2024-01-01,25.24
u00284,PDF,2024-01-01,24.91
u00285,PMTool,2024-01-01,19.52
u00287,Zoom,2024-01-01,23.88
u00289,Zoom,2024-01-01,19.8
u00290,Zoom,2024-01-01,8.06
u00292,M365,2024-01-01,9.04
u00293,PDF,2024-01-01,23.78
u00295,M365,2024-01-01,7.95
u00296,Zoom,2024-01-01,6.88
u00297,PDF,2024-01-01,9.0
u00298,PDF,2024-01-01,21.02
u00300,Zoom,2024-01-01,9.52
u00301,Zoom,2024-01-01,7.5
u00302,Zoom,2024-01-01,28.6
u00303,PDF,2024-01-01,8.78
u00304,PMTool,2024-01-01,11.3
u00307,Zoom,2024-01-01,5.66
u00308,PDF,2024-01-01,12.89
u00309,Zoom,2024-01-01,22.63
u00309,Zoom,2024-01-01,26.5
u00310,PDF,2024-01-01,7.35
u00311,M365,2024-01-01,19.55
u00312,M365,2024-01-01,17.94
u00314,PMTool,2024-01-01,20.14
u00315,PDF,2024-01-01,26.5
u00316,Zoom,2024-01-01,22.7
u00317,PDF,2024-01-01,22.51
u00318,Zoom,2024-01-01,23.4
u00319,PMTool,2024-01-01,17.32
u00320,Zoom,2024-01-01,29.04
u00321,PMTool,2024-01-01,13.86
u00322,M365,2024-01-01,9.15
u00323,PDF,2024-01-01,29.0
u00325,PDF,2024-01-01,23.38
u00328,PMTool,2024-01-01,8.37
u00329,PDF,2024-01-01,14.95
u00330,Zoom,2024-01-01,14.06
u00332,PDF,2024-01-01,7.0
u00333,Zoom,2024-01-01,9.32
u00334,M365,2024-01-01,18.33
u00335,PMTool,2024-01-01,9.2
u00336,Zoom,2024-01-01,18.81
u00337,Zoom,2024-01-01,21.15
u00337,Zoom,2024-01-01,24.82
u00338,PDF,2024-01-01,7.18
u00339,M365,2024-01-01,24.7
u00340,PMTool,2024-01-01,9.26
u00341,PMTool,2024-01-01,14.96
u00344,Zoom,2024-01-01,9.63
u00345,M365,2024-01-01,5.47
u00346,M365,2024-01-01,19.37
u00347,Zoom,2024-01-01,8.36
u00348,M365,2024-01-01,28.74
u00350,M365,2024-01-01,28.29
u00351,M365,2024-01-01,13.01
u00352,PMTool,2024-01-01,25.77
u00352,PMTool,2024-01-01,26.76
u00353,Zoom,2024-01-01,22.72
u00354,M365,2024-01-01,19.31
u00355,PDF,2024-01-01,15.59
u00356,Zoom,2024-01-01,26.43
u00357,Zoom,2024-01-01,24.66
u00358,PDF,2024-01-01,12.08
u00358,PMTool,2024-01-01,12.49
u00360,PDF,2024-01-01,27.5
u00362,PMTool,2024-01-01,21.46
u00363,PMTool,2024-01-01,27.36
u00364,Zoom,2024-01-01,24.75
u00365,M365,2024-01-01,25.47
u00368,M365,2024-01-01,29.95
u00369,Zoom,2024-01-01,9.31
u00370,Zoom,2024-01-01,12.18
u00371,PDF,2024-01-01,6.94
u00372,PDF,2024-01-01,15.71
u00373,PMTool,2024-01-01,19.31
u00374,M365,2024-01-01,9.14
u00375,PDF,2024-01-01,23.63
u00376,PMTool,2024-01-01,18.99
u00376,PMTool,2024-01-01,9.32
u00377,PDF,2024-01-01,6.58
u00377,M365,2024-01-01,19.89
u00378,PDF,2024-01-01,20.65
u00379,PDF,2024-01-01,9.36
u00380,PDF,2024-01-01,24.51
u00381,Zoom,2024-01-01,16.92
u00382,PMTool,2024-01-01,6.25
u00383,PMTool,2024-01-01,23.43
u00384,PDF,2024-01-01,11.9
u00385,PMTool,2024-01-01,7.06
u00387,PMTool,2024-01-01,11.41
u00388,PMTool,2024-01-01,23.88
u00390,PDF,2024-01-01,21.48
u00391,PDF,2024-01-01,25.41
u00392,M365,2024-01-01,8.73
u00393,M365,2024-01-01,5.28
u00394,PMTool,2024-01-01,21.25
u00395,PDF,2024-01-01,29.41
u00396,PMTool,2024-01-01,5.83
u00397,Zoom,2024-01-01,16.11
u00398,Zoom,2024-01-01,10.28
u00399,Zoom,2024-01-01,5.56
u00400,M365,2024-01-01,18.7
u00401,PMTool,2024-01-01,15.26
u00403,M365,2024-01-01,24.28
u00404,PMTool,2024-01-01,13.23
u00405,M365,2024-01-01,14.68
u00406,Zoom,2024-01-01,12.62
u00407,PMTool,2024-01-01,29.69
u00407,PDF,2024-01-01,24.97
u00408,M365,2024-01-01,26.1
u00409,Zoom,2024-01-01,25.71
u00410,PMTool,2024-01-01,24.12
u00411,PMTool,2024-01-01,22.07
u00412,Zoom,2024-01-01,9.67
u00412,M365,2024-01-01,15.06
u00413,M365,2024-01-01,16.86
u00414,Zoom,2024-01-01,24.17
u00415,Zoom,2024-01-01,17.26
u00416,PDF,2024-01-01,29.14
u00417,Zoom,2024-01-01,16.59
u00418,PMTool,2024-01-01,25.56
u00419,PDF,2024-01-01,9.29
u00420,Zoom,2024-01-01,22.95
u00421,Zoom,2024-01-01,29.31
u00421,Zoom,2024-01-01,28.94
u00422,M365,2024-01-01,7.82
u00423,PMTool,2024-01-01,16.24
u00424,M365,2024-01-01,20.42
u00425,M365,2024-01-01,14.2
u00426,PDF,2024-01-01,10.8
u00427,PDF,2024-01-01,21.47
u00428,Zoom,2024-01-01,24.57
u00429,M365,2024-01-01,15.36
u00430,M365,2024-01-01,14.66
u00431,Zoom,2024-01-01,21.95
u00432,M365,2024-01-01,7.57
u00433,Zoom,2024-01-01,27.53
u00434,M365,2024-01-01,9.99
u00435,PMTool,2024-01-01,6.36
u00436,PDF,2024-01-01,6.06
u00437,M365,2024-01-01,17.94
u00438,Zoom,2024-01-01,15.05
u00439,PMTool,2024-01-01,18.76
u00440,PDF,2024-01-01,26.06
u00442,Zoom,2024-01-01,17.91
u00444,PMTool,2024-01-01,20.78
u00444,PMTool,2024-01-01,18.5
u00445,M365,2024-01-01,22.98
u00446,M365,2024-01-01,9.29
u00447,M365,2024-01-01,18.94
u00449,M365,2024-01-01,20.89
u00451,PDF,2024-01-01,12.02
u00453,PDF,2024-01-01,13.35
u00455,Zoom,2024-01-01,5.27
u00457,Zoom,2024-01-01,21.44
u00458,M365,2024-01-01,19.64
u00459,Zoom,2024-01-01,16.46
u00460,PDF,2024-01-01,19.25
u00462,PMTool,2024-01-01,21.23
u00463,PDF,2024-01-01,11.06
u00465,PDF,2024-01-01,13.87
u00466,M365,2024-01-01,22.5
u00467,PDF,2024-01-01,21.99
u00469,Zoom,2024-01-01,7.97
u00470,PMTool,2024-01-01,11.22
u00472,Zoom,2024-01-01,29.02
u00473,PMTool,2024-01-01,25.17
u00474,PMTool,2024-01-01,12.09
u00474,PDF,2024-01-01,19.54
u00475,PMTool,2024-01-01,29.19
u00476,Zoom,2024-01-01,8.37
u00476,PDF,2024-01-01,9.65
u00477,Zoom,2024-01-01,9.14
u00478,M365,2024-01-01,14.6
u00480,PMTool,2024-01-01,9.42
u00481,Zoom,2024-01-01,19.7
u00482,Zoom,2024-01-01,10.38
u00483,PMTool,2024-01-01,18.9
u00484,Zoom,2024-01-01,14.3
u00485,M365,2024-01-01,11.18
u00486,PDF,2024-01-01,27.38
u00487,Zoom,2024-01-01,20.08
u00489,Zoom,2024-01-01,15.06
u00489,M365,2024-01-01,12.24
u00490,PMTool,2024-01-01,28.25
u00491,M365,2024-01-01,28.91
u00492,Zoom,2024-01-01,26.32
u00493,M365,2024-01-01,10.44
u00494,PMTool,2024-01-01,13.03
u00496,PMTool,2024-01-01,21.11
u00497,Zoom,2024-01-01,23.56
u00498,PDF,2024-01-01,27.71
u00500,Zoom,2024-01-01,10.84
u00501,PMTool,2024-01-01,29.83
u00504,Zoom,2024-01-01,27.88
u00507,PDF,2024-01-01,15.06
u00508,PMTool,2024-01-01,21.47
u00510,M365,2024-01-01,28.41
u00511,PMTool,2024-01-01,8.82
u00513,M365,2024-01-01,12.74
u00514,PDF,2024-01-01,8.01
u00515,M365,2024-01-01,21.42
